type,title,subtitle,country,tags,difficulty,ranking,city,tuition_usd,acceptance_rate,degree,stem_eligible,recommended_background,career_paths,organizer,eligibility,award,season,provider,format,duration_weeks,workload,curriculum,sequence,estimated_hours,key_skill
major,Computer Science,计算机科学,United States,Engineering,Reach,,,,,,BS,TRUE,"Mathematics,Physics,Programming","Software Engineer,Data Scientist,Machine Learning Engineer,AI Researcher,Full Stack Developer,DevOps Engineer,Cybersecurity Analyst",,,,,,,,,,
major,Economics and Business,经济学与商学,United States,"Business,Economics",Reach,,,,,"BS,BA",TRUE,"Mathematics,Statistics,Economics,Microeconomics,Macroeconomics","Financial Analyst,Investment Banker,Management Consultant,Economist,Data Analyst,Marketing Manager,Accountant,Policy Analyst",,,,,,,,,,
major,Agricultural Sciences,农业科学,United States,Agriculture,Safety,,,,,,BS,TRUE,"Biology,Chemistry,Agriculture,Botany,Soil Science","Agricultural Scientist,Agronomist,Food Engineer,Research Scientist,Farm Manager,Environmental Consultant,Plant Breeder",,,,,,,,,,
major,Engineering,工学,United States,Engineering,Match,,,,,,BS,TRUE,"Mathematics,Physics,Chemistry,Calculus,Differential Equations","Mechanical Engineer,Electrical Engineer,Civil Engineer,Chemical Engineer,Aerospace Engineer,Project Manager,Research Engineer,Manufacturing Engineer",,,,,,,,,,
major,Materials Science,材料科学,United States,Materials,Match,,,,,,BS,TRUE,"Chemistry,Physics,Materials Science,Crystallography,Nanomaterials","Materials Engineer,Research Scientist,Metallurgist,Polymer Chemist,Semiconductor Engineer,Quality Control Specialist,Nanotechnology Researcher",,,,,,,,,,
major,Space Science,空间科学,United States,Astronomy,Match,,,,,,BS,TRUE,"Physics,Mathematics,Astronomy,Astrophysics,Calculus","Astrophysicist,Space Researcher,NASA Engineer,Astronomer,Satellite Engineer,Planetary Scientist,Cosmologist,Space Mission Analyst",,,,,,,,,,
major,Environment and Ecology,环境与生态学,United States,Environment,Safety,,,,,,BS,TRUE,"Biology,Chemistry,Environmental Science,Ecology,Geology","Environmental Scientist,Ecologist,Conservation Biologist,Wildlife Manager,Climate Analyst,Sustainability Consultant,Environmental Consultant,Natural Resource Manager",,,,,,,,,,
major,Artificial Intelligence,人工智能,United States,Computer Science,Reach,,,,,,BS,TRUE,"Mathematics,Programming,Statistics,Linear Algebra,Probability","AI Engineer,Machine Learning Engineer,Deep Learning Researcher,Natural Language Processing Engineer,Computer Vision Engineer,Robotics Engineer,Data Scientist,AI Product Manager",,,,,,,,,,
major,Chemical Engineering,化学工程,United States,Engineering,Match,,,,,,BS,TRUE,"Chemistry,Mathematics,Physics,Thermodynamics,Reaction Engineering","Chemical Engineer,Process Engineer,Production Manager,Pharmaceutical Engineer,Petroleum Engineer,Materials Scientist,Energy Consultant,Plant Manager",,,,,,,,,,
major,Civil Engineering,土木工程,United States,Engineering,Match,,,,,,BS,TRUE,"Mathematics,Physics,Engineering,Structural Analysis,Geotechnics","Civil Engineer,Structural Engineer,Construction Manager,Transportation Engineer,Geotechnical Engineer,Water Resources Engineer,Urban Planner,Project Engineer",,,,,,,,,,
major,Biotechnology and Applied Microbiology,生物技术与应用微生物学,United States,Biotechnology,Match,,,,,,BS,TRUE,"Biology,Chemistry,Molecular Biology,Genetics,Microbiology","Biotech Researcher,Lab Scientist,Genetic Engineer,Pharmaceutical Researcher,Clinical Lab Technician,Bioinformatician,Industrial Microbiologist,Quality Assurance Specialist",,,,,,,,,,
major,Electrical and Electronic Engineering,电气与电子工程,United States,Engineering,Match,,,,,,BS,TRUE,"Mathematics,Physics,Electrical Engineering,Circuit Analysis,Signal Processing","Electrical Engineer,Circuit Designer,Electronics Engineer,Telecommunications Engineer,Control Systems Engineer,Power Systems Engineer,Hardware Engineer,Embedded Systems Engineer",,,,,,,,,,
major,Energy and Fuels,能源与燃料,United States,Energy,Match,,,,,,BS,TRUE,"Chemistry,Physics,Engineering,Energy Systems,Fossil Fuels,Renewable Energy","Energy Engineer,Renewable Energy Specialist,Petroleum Engineer,Fuel Cell Scientist,Power Plant Engineer,Energy Consultant,Climate Policy Analyst,Sustainable Energy Researcher",,,,,,,,,,
major,Environmental Engineering,环境工程,United States,Engineering,Match,,,,,,BS,TRUE,"Chemistry,Biology,Environmental Science,Hydrology,Waste Management","Environmental Engineer,Waste Management Specialist,Water Treatment Engineer,Environmental Consultant,Sustainability Engineer,Hazmat Specialist,Environmental Compliance Officer,Green Building Engineer",,,,,,,,,,
major,Food Science and Technology,食品科学与技术,United States,Food Science,Safety,,,,,,BS,TRUE,"Chemistry,Biology,Food Science,Nutrition,Microbiology","Food Scientist,Quality Control Specialist,Food Technologist,Nutritionist,Flavor Chemist,Food Safety Inspector,Product Development Scientist,Agricultural Scientist",,,,,,,,,,
major,Green Sustainable Science and Technology,绿色可持续科学与技术,United States,Sustainability,Safety,,,,,,BS,TRUE,"Environmental Science,Engineering,Sustainability,Climate Science,Ecology","Sustainability Consultant,Green Tech Researcher,Climate Analyst,Renewable Energy Engineer,Environmental Policy Analyst,Circular Economy Specialist,Carbon Footprint Analyst,Sustainable Development Officer",,,,,,,,,,
major,Mechanical Engineering,机械工程,United States,Engineering,Match,,,,,,BS,TRUE,"Mathematics,Physics,Engineering,Thermodynamics,Mechanics","Mechanical Engineer,Manufacturing Engineer,Automotive Engineer,Aerospace Engineer,Robotics Engineer,HVAC Engineer,CAD Designer,Product Development Engineer",,,,,,,,,,
major,Nanoscience and Nanotechnology,纳米科学与纳米技术,United States,Physics,Match,,,,,,BS,TRUE,"Physics,Chemistry,Materials Science,Nanomaterials,Quantum Mechanics","Nanotechnology Researcher,Materials Scientist,Semiconductor Engineer,NanoMed Researcher,Quantum Computing Engineer,Nanofabrication Specialist,Advanced Materials Developer,Lab Scientist",,,,,,,,,,
major,Chemistry,化学,United States,Natural Science,Match,,,,,,BS,TRUE,"Chemistry,Physics,Mathematics,Organic Chemistry,Inorganic Chemistry","Chemist,Research Scientist,Pharmaceutical Scientist,Forensic Chemist,Quality Control Analyst,Materials Scientist,Environmental Chemist,Lab Manager",,,,,,,,,,
major,Mathematics,数学,United States,Natural Science,Match,,,,,,"BS,BA",TRUE,"Mathematics,Logic,Statistics,Abstract Algebra,Calculus","Mathematician,Statistician,Data Scientist,Financial Analyst,Cryptographer,Actuary,Quantitative Analyst,Mathematics Teacher",,,,,,,,,,
major,Earth Sciences,地球科学,United States,Natural Science,Safety,,,,,,BS,TRUE,"Geology,Physics,Chemistry,Mineralogy,Seismology","Geologist,Environmental Scientist,Geophysicist,Hydrogeologist,Seismologist,Mineralogist,Natural Hazard Analyst,Climate Scientist",,,,,,,,,,
major,Physics,物理学,United States,Natural Science,Match,,,,,,BS,TRUE,"Physics,Mathematics,Chemistry,Quantum Mechanics,Electromagnetism","Physicist,Research Scientist,Engineer,Astrophysicist,Medical Physicist,Laser Engineer,Particle Physicist,Science Educator",,,,,,,,,,
